tau,P,omega_0,eps_UA,eps_CD1,eps_CD2,eps_FE1,eps_FE2,fid_UA,fid_CD1,fid_CD2,fid_FE1,fid_FE2
0.1,2000,25.132741228718345,0.4989333435955487,0.30736339510130317,0.19961693079428205,0.3064602661146518,0.19856985902373112,0.015792928926383006,0.07497016338595137,0.1703935624860257,0.07555351606728532,0.17161653228741053
0.12589254117941673,2517,25.132741228718345,0.4983129971134793,0.30717692944055563,0.1995796305252424,0.30626992930743197,0.19824273788088975,0.015892277957667286,0.07505487783947565,0.170422124318656,0.07564520708204923,0.17227334537580727
0.15848931924611134,3169,25.132741228718345,0.4973352349613463,0.3068839914530173,0.19952162074569707,0.30597945141033595,0.19808695119065495,0.016049729853387183,0.07518787235880713,0.17046582885844647,0.0757754226816352,0.172436389851569
0.19952623149688797,3990,25.132741228718345,0.4957991968762271,0.30642619269052357,0.19943157384481106,0.30552996911167085,0.19737652346841156,0.016298631667050457,0.07539593939878043,0.17053291116484073,0.07597186126568138,0.17395572561520098
0.251188643150958,5023,25.132741228718345,0.49339865328959903,0.3057165242697257,0.19929238363101914,0.3048291030401108,0.19700094556100417,0.016690662868232117,0.07571963942235689,0.17063608103145336,0.07628360318131346,0.17462814810059513
0.31622776601683794,6324,25.132741228718345,0.4896774109828327,0.3046300472835082,0.1990788617399494,0.30375867763277264,0.19650888928715018,0.01730489282014658,0.07621882155933977,0.17079479992652907,0.0767601908990796,0.1754930489631259
0.3981071705534973,7962,25.132741228718345,0.48398087888606733,0.3029979586132313,0.19875535333369787,0.3021091826095126,0.19548091865382733,0.018260039048547314,0.07697825250474274,0.17103848817506864,0.07754752770761704,0.17749646574739067
0.5011872336272724,10023,25.132741228718345,0.47542605365132246,0.30061445359032957,0.19827438636893704,0.29976849766920527,0.1937447794203666,0.01972969723305789,0.07811051274763652,0.17141060171855285,0.07861522209434314,0.18100224964602638
0.6309573444801934,12619,25.132741228718345,0.46294107957840785,0.2972695263354619,0.19757771212211614,0.29640098820805866,0.19325397204479877,0.021959298836887225,0.07975207256395421,0.17197394383825082,0.08029838444631747,0.1811428980202269
0.7943282347242815,15886,25.132741228718345,0.445456361867805,0.2928066509069157,0.19659938164085317,0.292027764006258,0.1891551390745693,0.025283841948225465,0.08205307609466797,0.17281911857763274,0.0824721669183112,0.18991161979115814
1.0,20000,25.132741228718345,0.42230889478306893,0.28714270046972185,0.19526516827273271,0.2864418161180478,0.18686757601035567,0.030149197742766635,0.08518656462734922,0.17407974856152367,0.08552412788077987,0.19396397817560854
1.2589254117941675,25178,25.132741228718345,0.39375912211700176,0.28011326937319814,0.19347298367280158,0.27949432478272146,0.18322862226499842,0.0371373596988584,0.0894319640999661,0.17597161275002174,0.08969079253377105,0.20055959038418156
1.584893192461114,31697,25.132741228718345,0.3612656292741629,0.2711911313886397,0.19106274134634363,0.27067615227521646,0.17549471249665155,0.04694253248702564,0.09531795827569806,0.17885498055239524,0.09552046860841343,0.21773223499014743
1.9952623149688797,39905,25.132741228718345,0.3271602946936363,0.25961484296629433,0.1877839476110251,0.25907454531706703,0.16748175725576822,0.060172890183424185,0.10363161439630433,0.18328224493811232,0.10401439427191121,0.23619489528319743
2.511886431509581,50237,25.132741228718345,0.29366206107407855,0.2449507767166466,0.18313090567653859,0.2448832945266512,0.15668611891402354,0.07712299388558075,0.11531068483114885,0.19008491431644908,0.11505944793579873,0.26255893484450604
3.1622776601683795,63245,25.132741228718345,0.2615940980257223,0.22705774555390934,0.17619229253230237,0.22727198092862264,0.13339842330122753,0.09820087210051553,0.13160769752145896,0.20056322946099375,0.13092293270000946,0.3288980565297735
3.981071705534973,79621,25.132741228718345,0.22971732570485348,0.20555598168383252,0.16584346015022272,0.20588545978724496,0.09869176001693925,0.12527015356508958,0.1545462333770207,0.21665524639471564,0.15361673524701547,0.4481517209499042
5.011872336272725,100237,25.132741228718345,0.19642036630747156,0.1802094975929091,0.15124425164119198,0.18078528573502695,0.08126230275390736,0.16181286089237445,0.18692717701576286,0.24072129278838447,0.18531385116712434,0.5093676060443921
6.309573444801933,126191,25.132741228718345,0.16258283720271396,0.152234216964026,0.1327084464361547,0.15303388683821867,0.06438192475803524,0.20999919072103213,0.23060028398379676,0.2745921744771564,0.22806739963436565,0.5733120726066359
7.943282347242818,158865,25.132741228718345,0.1306512702161376,0.12438787498145279,0.11234633915070921,0.1253095984729215,0.04150777063332356,0.2688638609535938,0.2847844884427707,0.3182553734939311,0.28131933555171246,0.686434059330077
10.0,200000,25.132741228718345,0.10367662433098941,0.10004760057067226,0.09316385704883397,0.1011449433225978,0.05523125770810271,0.333835656066749,0.34553526185302247,0.3694838769592678,0.340549548650263,0.5847547749638764
